old_column_name,new_data_type,new_column_name,coding
idtype,integer,IDTYPE,
id,integer,ID,
sex,factor,Sex,
att1,,,
date1,date,Date_e1,
age1,integer,Age_e1,
site1,,,
att2,,,
date2,date,Date_e2,
age2,integer,Age_e2,
site2,,,
att3,,,
date3,date,Date_e3,
age3,integer,Age_e3,
site3,,,
att4,,,
date4,date,Date_e4,
age4,,,
site4,,,
att5,,,
date5,date,Date_e5,
age5,,,
site5,,,
att6,,,
date6,date,Date_e6,
age6,,,
site6,,,
att7,,,
date7,date,Date_e7,
age7,integer,Age_e7,
site7,,,
att8,,,
date8,date,Date_e8,
age8,integer,Age_e8,
site8,,,
att9,,,
date9,date,Date_e9,
age9,integer,Age_e9,
site9,,,
att10,,,
date10,date,Date_e10,
age10,,,
site10,,,
att11,,,
date11,date,Date_e11,
age11,,,
site11,,,
att12,,,
date12,date,Date_e12,
age12,,,
site12,,,
att13,,,
date13,date,Date_e13,
age13,,,
site13,,,
att14,,,
date14,date,Date_e14,
age14,,,
site14,,,
att15,,,
date15,date,Date_e15,
age15,,,
site15,,,
att16,,,
date16,date,Date_e16,
age16,,,
site16,,,
att17,,,
date17,date,Date_e17,
age17,,,
site17,,,
att18,,,
date18,date,Date_e18,
age18,,,
site18,,,
att19,,,
date19,date,Date_e19,
age19,,,
site19,,,
att20,,,
date20,date,Date_e20,
site20,,,
att21,,,
date21,date,Date_e21,
age21,,,
site21,,,
att22,,,
date22,date,Date_e22,
age22,,,
site22,,,
att23,,,
date23,date,Date_e23,
age23,,,
site23,,,
att24,,,
date24,date,Date_e24,
age24,,,
site24,,,
att25,,,
date25,date,Date_e25,
age25,,,
site25,,,
att26,,,
date26,date,Date_e26,
age26,,,
site26,,,
att27,,,
date27,date,Date_e27,
age27,,,
site27,,,
att28,,,
date28,date,Date_e28,
age28,,,
site28,,,
att29,,,
date29,date,Date_e29,
age29,,,
site29,,,
att30,,,
date30,date,Date_e30,
age30,,,
site30,,,
att31,,,
date31,date,Date_e31,
age31,,,
site31,,,
att32,,,
date32,date,Date_e32,
age32,,,
site32,,,
age20,,,
