old_column_name,new_data_type,new_column_name,coding
idtype,integer,IDTYPE,
id,integer,ID,
diag_typ,factor,diagnosis_type_confirmed_cancer,
d_date,date,confirmed_cancer_date,
exact,,,
topo,factor,topography_confirmed_cancer,
location,factor,location_code_confirmed_cancer,
hist,factor,histology_code_confirmed_cancer,
behavior,factor,behavior_confirmed_cancer,
grade,factor,grade_confirmed_cancer,
estrgn,factor,estrogen_receptor_pos_confirmed_cancer,
prgstrn,factor,progesterone_recepter_pos_confirmed_cancer,
h2ni,factor,HER2NEUbyIHC_confirmed_cancer,
h2nf,factor,HER2NEUbyFISH_confirmed_cancer,
tissue_1,factor,gleason_tissue1_prostate_confirmed_cancer,
tissue_2,factor,gleason_tissue2_prostate_confirmed_cancer,
gleason,int,gleason_score_prostate_confirmed_cancer,
version,,,
indicator,factor,ICD_coding_book,
