old_column_name,new_data_type,new_column_name,coding
G3A001,,,
G3A002,factor,hospitalization_ever,
G3A003,factor,er_visit_ever,
G3A004,factor,day_surgery,
G3A005,factor,major_illness_doctor_visit,
G3A006,factor,doctor_checkup_past_5_years,
G3A007,date,g3e1_date,
G3A008,,,
G3A009,,,
G3A010,,,
G3A011,,,
G3A012,,,
G3A013,,,
G3A014,,,
G3A015,,,
G3A016,factor,diabetes_meds_ever,
G3A017,,,
G3A018,,,
G3A019,,,
G3A020,factor,cardiovascular_meds_ever,
G3A021,,,
G3A023,,,
G3A024,,,
G3A025,,,
G3A026,,,
G3A027,,,
G3A028,,,
G3A029,,,
G3A030,,,
G3A031,,,
G3A032,,,
G3A033,factor,pregnancy_ever,
G3A034,,,
G3A035,,,
G3A036,,,
G3A037,,,
G3A038,,,
G3A039,factor,hysterectomy_ever,
G3A040,,,
G3A041,,,
G3A042,,,
G3A043,factor,ovarectomy_ever,
G3A044,,,
G3A045,factor,menopause,
G3A046,,,
G3A047,,,
G3A048,,,
G3A049,,,
G3A050,,,
G3A051,,,
G3A052,,,
G3A053,factor,hormone_replacement_therapy,
G3A054,,,
G3A055,,,
G3A056,,,
G3A057,,,
G3A058,,,
G3A059,,,
G3A060,,,
G3A061,,,
G3A062,,,
G3A063,,,
G3A064,,,
G3A065,factor,serm_ever,
G3A066,,,
G3A067,,,
G3A068,,,
G3A069,,,
G3A070,factor,have_you_ever_smoked,
G3A071,factor,regular_smoker_past_year,
G3A072,factor,current_smoker,
G3A073,integer,smoke_per_day_current,
G3A074,integer,smoke_per_day_average,
G3A075,integer,age_started_smoking,
G3A076,integer,age_stopped_smoking,
G3A077,factor,interim_quit_smoking,
G3A078,integer,duration_interim_quit_smoking,
G3A079,factor,have_you_ever_smoked_pipe,
G3A080,factor,regular_pipe_smoker_past_year,
G3A081,factor,current_pipe_smoker,
G3A082,integer,pipe_tobacco_per_day_current,
G3A083,integer,pipe_tobacco_per_day_average,
G3A084,integer,age_started_pipe,
G3A085,integer,age_stopped_pipe,
