old_column_name,new_data_type,new_column_name,coding,
id,integer,ID,,
idtype,integer,IDTYPE,,
g3b0001,,,,
g3b0002,,,,
g3b0003,factor,ER_Visit_Since_Last_Exam,,
g3b0004,factor,Surgery_Since_Last_Exam,,
g3b0005,factor,Major_Illness_W_Doctor_Visit_Since_Last_Exam,,
g3b0006,factor,Doctor_Checkup_Since_Last_Exam,,
g3b0007,factor,Fever_Or_Infection_Last_2_weeks,,
g3b0008,Date,e2_g3o_date,,
g3b0009,,,,
g3b0010,,,,
g3b0011,,,,
g3b0012,,,,
g3b0013,factor,hypertension,,
g3b0014,factor,blood_pressure_med,,
g3b0015,factor,high_cholesterol_triglycerides,,
g3b0016,factor,cholesterol_med,,
g3b0017,factor,diabetes,,
g3b0018,factor,diabetes_med,,
g3b0019,factor,cvd_med,,
g3b0020,,,,
g3b0028,factor,is_male,,
g3b0029,,,,
g3b0030,,,,
g3b0031,factor,is_pregnant,,
g3b0032,,,,
g3b0033,,,,
g3b0034,,,,
g3b0035,,,,
g3b0036,,,,
g3b0037,,,,
g3b0038,,,,
g3b0039,,,,
g3b0040,,,,
g3b0041,,,,
g3b0042,,,,
g3b0043,,,,
g3b0044,,,,
g3b0045,,,,
g3b0046,,,,
g3b0047,,,,
g3b0048,,,,
g3b0049,,,,
g3b0050,,,,
g3b0051,,,,
g3b0052,,,,
g3b0053,,,,
g3b0054,,,,
g3b0055,,,,
g3b0056,,,,
g3b0057,,,,
g3b0058,,,,
g3b0059,,,,
g3b0060,,,,
g3b0061,,,,
g3b0062,,,,
g3b0063,,,,
g3b0064,,,,
g3b0065,,,,
g3b0066,,,,
g3b0067,,,,
g3b0068,,,,
g3b0069,,,,
g3b0070,,,,
g3b0071,,,,
g3b0072,,,,
g3b0073,factor,menopause_status,,
g3b0073z,,,,
g3b0074,,,,
g3b0075,,,,
g3b0076,,,,
g3b0077,,,,
g3b0078,,,,
g3b0079,,,,
g3b0080,,,,
g3b0081,,,,
g3b0082,,,,
g3b0083,,,,
g3b0084,factor,hysterectomy_surgery_since_last_exam,,
g3b0085,,,,
g3b0086,,,,
g3b0087,,,,
g3b0088,,,,
g3b0089,,,,
g3b0090,,,,
g3b0091,factor,regular_smoker_since_last_exam,,
g3b0092,factor,regular_smoker_past_year,,
g3b0093,factor,current_smoker,,
g3b0094,integer,smoke_per_day_current,,
g3b0095,integer,lifetime_smoke_per_day_average,,
g3b0096,integer,age_started_smoking,,
g3b0097,integer,age_stopped_smoking,,
g3b0098,factor,interim_quit_smoking,,
g3b0099,integer,duration_interim_quit_smoking,,
g3b0100,factor,smoke_pipe_or_cigar_since_last_exam,,
g3b0101,factor,smoke_pipe_or_cigar_current,,
g3b0102,factor,drinks_alcohol_beer,,
g3b0103,factor,drinks_alcohol_wine,,
g3b0104,factor,drinks_alcohol_liquor,,
g3b0105,,,,
g3b0107,,,,
