old_column_name,new_data_type,new_column_name,coding
IDTYPE,integer,,
ID,integer,,
WBC,float,,
RBC,float,,
HGB,,,
HCT,,,
MCV,,,
MCH,,,
MCHC,,,
RDW,,,
PLT,,,
MPV,,,
NE_PER,,,
LY_PER,,,
MO_PER,,,
EO_PER,,,
BA_PER,,,
NE_NUM,,,
LY_NUM,,,
MO_NUM,,,
EO_NUM,,,
BA_NUM,,,
UR_ALB,float,,
UR_CREAT,,,
HBA1C,float,,
ALB,float,,
AST,,,
ALT,,,
BILI,float,,
CA,float,,
GGT,,,
PHOS,float,,
CHOL,float,,
TRIG,float,,
GLUC,float,,
CREAT,float,,
HDL,float,,
CRP,float,,
EXDATE,date,Lab_date,
CAFFEINE,,,
WBC_P,,,
PLT_P,,,
RBC_P,,,
ALT_I,,,
CRP_I,,,
HDL_I,,,
UR_ALB_I,,,
FASTING,,,
FAST_H,,,
DRAWTIME,,,
