old_column_name,new_data_type,new_column_name,coding,
ID,integer,,,
G434,,,,
IDTYPE,integer,,,
G007,Date,date_offspring,,
G703,,,,
G704,,,,
G705,,,,
G706,,,,
G707,,,,
G001,,,,
G002,factor,hospitalization_ever,,
G003,factor,er_visit_ever,,
G004,factor,day_surgery,,
G005,factor,major_illness_doctor_visit,,
G006,factor,doctor_checkup_past_5_years,,
G007,factor,offspring_checkup,,
G008,factor,blood_pressure_med,,
G009,factor,cvd_med,,
G010,,,,
G011,,,,
G012,,,,
G013,,,,
G014,,,,
G015,,,,
G016,,,,
G017,,,,
G018,,,,
G019,,,,
G020,,,,
G021,,,,
G022,,,,
G023,,,,
G024,,,,
G025,,,,
G026,,,,
G027,,,,
G028,,,,
G029,,,,
G030,,,,
G031,,,,
G032,,,,
G033,,,,
G034,,,,
G035,,,,
G036,,,,
G037,factor,take_aspirin_regularly,,
G038,,,,
G039,,,,
G040,,,,
G041,factor,cholesterol_med_1,,
G042,factor,cholesterol_med_2,,
G043,factor,cholesterol_med_3,,
G044,factor,cholesterol_med_4,,
G045,factor,cholesterol_med_5,,
G046,,,,
G047,,,,
G048,,,,
G049,,,,
G050,factor,diabetes_meds_insulin,,
G051,,,,
G052,factor,oral_diabetes_meds_hypoglycemics,,
G053,,,,
G054,,,,
G055,,,,
G056,,,,
G057,,,,
G058,,,,
G059,,,,
G060,,,,
G061,factor,oral_glucocorticoids_meds,,
G062,factor,nsaid_meds,,
G063,factor,analgesic_narcotic_meds,,
G064,factor,analgesic_non_narcotics_meds,,
G065,factor,antihistamin_meds,,
G066,factor,antiulcer_meds,,
G067,factor,anti-anxiety_meds,,
G068,factor,sleeping_pills_meds,,
G069,factor,anti-depressant_meds,,
G070,factor,eyedrop_meds,,
G071,factor,antibiotic_meds,,
G072,factor,anti_parkinson_meds,,
G073,factor,anticonvulsant_meds,,
G074,factor,bronchodilator_inhalers_meds,,
G075,factor,osteoporosis_meds,,
G076,factor,other_meds,,
G077,factor,menopause_status,,
G078,,,,
G079,,,,
G080,,,,
G081,,,,
G082,factor,hysterectomy_surgery_since_last_exam,,
G083,,,,
G084,factor,ovarectomy_surgery_since_last_exam,,
G085,,,,
G086,,,,
G087,,,,
G088,,,,
G089,,,,
G090,,,,
G091,,,,
G092,,,,
G093,,,,
G094,,,,
G095,,,,
G096,,,,
G097,,,,
G098,factor,prostate_surgery_since_last_exam,,
G099,factor,thyroid_diagnosis_since_last_exam,,
G100,factor,ulcer_since_last_exam,,
G101,factor,hiatal_hernia_since_last_exam,,
G102,factor,gallbladder_disease_since_last_exam,,
G103,factor,gallbladder_surgery_since_last_exam,,
G104,integer,alcohol_beer_drinks_per_week,,
G105,,,,
G106,,,,
G107,integer,alcohol_wine_w_drinks_per_week,,
G108,,,,
G109,,,,
G110,integer,alcohol_wine_r_drinks_per_week,,
G111,,,,
G112,,,,
G113,integer,alcohol_liquor_drinks_per_week,,
G114,,,,
G115,,,,
G116,factor,regular_smoker_in_the_last_year,,
G117,integer,how_many_cigarettes_do_did_you_smoke_per_day,,
G118,,,,
G119,,,,
G120,,,,
G121,,,,
G122,,,,
G123,,,,
G124,,,,
G125,,,,
G126,,,,
G127,factor,asthma_since_last_exam,,
G128,,,,
G129,,,,
G130,,,,
G131,,,,
G132,,,,
G133,,,,
G134,,,,
G135,factor,heart_failure_CHF_congestive_heart_failure_dx_since_last_exam,,
G136,factor,heart_failure_hospitalization_since_last_exam,,
G137,,,,
G138,,,,
G139,factor,chest_discomfort_since_last_exam,,
G140,,,,
G141,,,,
G142,,,,
G143,,,,
G144,,,,
G145,,,,
G146,,,,
G147,,,,
G148,,,,
G149,,,,
G150,,,,
G151,,,,
G152,,,,
G153,,,,
G154,,,,
G155,,,,
G156,factor,angina_pectoris_examiner1,,
G157,,,,
G158,factor,coronary_insuff_since_last_exam_examiner1opinion,,
G159,factor,myocardial_infarct_since_last_exam_examiner1opinion,,
G160,factor,fainted_since_last_exam,,
G161,,,,
G162,,,,
G163,,,,
G164,,,,
G165,,,,
G166,factor,fainted_loc_hospitalized_since_last_exam,,
G167,,,,
G168,,,,
G169,,,,
G170,,,,
G171,factor,seizure_history,,
G172,,,,
G173,,,,
G174,,,,
G175,factor,seizure_history_treated,,
G176,,,,
G177,,,,
G178,,,,
G179,,,,
G180,,,,
G181,,,,
G182,,,,
G183,,,,
G184,,,,
G185,,,,
G186,,,,
G187,,,,
G188,,,,
G189,,,,
G190,factor,tia_stroke_since_last_exam_examiner1opinion,,
G191,,,,
G192,,,,
G193,,,,
G194,,,,
G195,,,,
G196,,,,
G197,,,,
G198,,,,
G199,,,,
G200,,,,
G201,factor,stroke_since_last_exam_examiner1opinion,,
G202,,,,
G203,factor,dementia_examiner1opinion,,
G204,factor,parkinson_examiner1opinion,,
G205,factor,other_cerebrovasc_event_examiner1opinion,,
G206,,,,
G207,,,,
G208,,,,
G209,,,,
G210,,,,
G211,,,,
G212,,,,
G213,,,,
G214,,,,
G215,,,,
G216,,,,
G217,,,,
G218,,,,
G219,,,,
G220,,,,
G221,,,,
G222,,,,
G223,,,,
G224,,,,
G225,,,,
G226,factor,intermittent_claudication_examiner1opinion,,
G227,factor,heart_valv_surgery_since_last_exam,,
G228,,,,
G229,,,,
G230,,,,
G231,,,,
G232,,,,
G233,,,,
G234,,,,
G235,,,,
G236,factor,coronary_bypass_surgery,,
G237,,,,
G238,factor,permanent_pacemaker_insertion,,
G239,,,,
G240,factor,carotid_art_surgery,,
G241,,,,
G242,factor,thoracic_aorta_surgery,,
G243,,,,
G244,factor,abdominal_aorta_surgery,,
G245,,,,
G246,factor,femoral_or_lower_extremity_surgery,,
G247,,,,
G248,factor,lower_extremity_amputation_surgery,,
G249,,,,
G250,factor,other_cardiovascular_procedure,,
G251,,,,
G252,factor,cancer_since_last_exam,,
G253,factor,cancer_esophagus,,
G254,factor,cancer_stomach,,
G255,factor,cancer_colon,,
G256,factor,cancer_rectum,,
G257,factor,cancer_pancreas,,
G258,factor,cancer_larynx,,
G259,factor,cancer_trachea_bronchus_lung,,
G260,factor,cancer_leukemia,,
G261,factor,cancer_skin,,
G262,factor,cancer_breast,,
G263,factor,cancer_cervix_uterus,,
G264,factor,cancer_ovary,,
G265,factor,cancer_prostate,,
G266,factor,cancer_bladder,,
G267,factor,cancer_kidney,,
G268,factor,cancer_brain,,
G269,factor,cancer_lymphoma,,
G270,factor,cancer_other,,
G271,integer,systol_blood_pressure_1,,
G272,integer,diastol_blood_pressure_1,,
G273,factor,thyroid_abnormality,,
G274,,,,
G275,,,,
G276,,,,
G277,,,,
G278,,,,
G279,,,,
G280,,,,
G281,,,,
G282,,,,
G283,,,,
G284,,,,
G285,,,,
G286,,,,
G287,,,,
G288,,,,
G289,,,,
G290,,,,
G291,,,,
G292,,,,
G293,,,,
G294,,,,
G295,,,,
G296,,,,
G297,,,,
G298,,,,
G299,,,,
G300,,,,
G301,,,,
G302,,,,
G303,,,,
G304,,,,
G305,,,,
G306,,,,
G307,,,,
G308,,,,
G309,,,,
G310,,,,
G317,,,,
G318,,,,
G319,,,,
G320,,,,
G321,,,,
G322,,,,
G323,,,,
G324,,,,
G325,,,,
G326,,,,
G327,,,,
G328,,,,
G329,,,,
G330,,,,
G331,,,,
G332,,,,
G333,,,,
G334,,,,
G335,,,,
G336,,,,
G337,,,,
G338,,,,
G339,,,,
G340,,,,
G341,,,,
G342,,,,
G343,,,,
G344,,,,
G345,,,,
G346,,,,
G347,,,,
G348,,,,
G349,,,,
G350,,,,
G351,,,,
G352,,,,
G353,,,,
G354,,,,
G355,,,,
G356,,,,
G357,,,,
G358,,,,
G359,,,,
G360,,,,
G361,,,,
G362,,,,
G363,,,,
G364,,,,
G365,,,,
G366,,,,
G367,,,,
G368,,,,
G369,,,,
G370,,,,
G371,,,,
G372,,,,
G373,,,,
G374,,,,
G375,,,,
G376,,,,
G377,,,,
G378,,,,
G379,,,,
G380,,,,
G381,,,,
G382,,,,
G383,,,,
G384,,,,
G385,,,,
G386,,,,
G387,,,,
G388,,,,
G389,,,,
G390,,,,
G391,,,,
G392,factor,angina_pectoris_diagnostic_impression_only,,
G393,factor,coronary_insuff_diagnostic_impression_only,,
G394,factor,myocardial_infarct_diagnostic_impression_only,,
G395,factor,CHF_congestive_heart_failure_diagnostic_impression_only,,
G396,factor,rheumatic_heart_disease_diagnostic_impression_only,,
G397,factor,aortic_valve_disease_diagnostic_impression_only,,
G398,factor,mitral_valve_disease_diagnostic_impression_only,,
G399,factor,other_heart_disease_diagnostic_impression_only,,
G400,factor,arrhythmia_diagnostic_impression_only,,
G401,factor,intermittent_claudication_diagnostic_impression_only,,
G402,factor,other_peripheral_vascular_disease_diagnostic_impression_only,,
G403,factor,stem_varicose_veins_diagnostic_impression_only,,
G404,factor,DVT_deep_vein_thrombosis_diagnostic_impression_only,,
G405,factor,other_vascular_dx_diagnostic_impression_only,,
G406,factor,stroke_diagnostic_impression_only,,
G407,factor,tia_diagnostic_impression_only,,
G408,factor,dementia_diagnostic_impression_only,,
G409,factor,parkinson_diagnostic_impression_only,,
G410,factor,adult_seizure_disorder_diagnostic_impression_only,,
G411,factor,other_neuro_disease_diagnostic_impression_only,,
G412,factor,diabetes_diagnostic_impression_only,,
G413,factor,prostate_diagnostic_impression_only,,
G414,factor,renal_disease_diagnostic_impression_only,,
G415,factor,emphysema_diagnostic_impression_only,,
G416,factor,chronic_bronchitis_diagnostic_impression_only,,
G417,factor,pneumonia_diagnostic_impression_only,,
G418,factor,asthma_diagnostic_impression_only,,
G419,factor,other_pulmonary_diagnostic_impression_only,,
G420,factor,gout_diagnostic_impression_only,,
G421,factor,degenerative_joint_disease_diagnostic_impression_only,,
G422,factor,rheumatoid_arthritis_diagnostic_impression_only,,
G423,factor,gallbladder_disease_diagnostic_impression_only,,
G424,factor,other_non_cv_dx_diagnostic_impression_only,,
G425,,,,
G426,,,,
G427,,,,
G428,,,,
G429,,,,
G430,,,,
G431,,,,
G432,,,,
G433,,,,
G436,factor,site_of_exam,,
G437,,,,
G438,factor,marital_status,,
G439,,,,
G440,float,Weight_lb,,
G441,float,Height_in,,
G442,,,,
G443,,,,
G444,float,neck_circumference_in,,
G445,float,waist_girth_in,,
G446,float,hip_girth_in,,
G447,,,,
G448,,,,
G449,,,,
G450,,,,
G451,,,,
G452,,,,
G453,int,body_composition_resistance_trial1,,
G454,int,body_composition_reactance_trial1,,
G455,,,,
G456,int,body_composition_resistance_trial2,,
G457,int,body_composition_reactance_trial2,,
G458,int,body_composition_resistance_trial3,,
G459,int,body_composition_reactance_trial3,,
G460,,,,
G461,,,,
G462,,,,
G463,,,,
G464,factor,body_composition_assessed,,
G465,,,,
G466,,,,
G467,,,,
G468,,,,
G469,,,,
G470,,,,
G471,,,,
G472,,,,
G473,,,,
G474,,,,
G475,,,,
G476,,,,
G477,,,,
G478,,,,
G479,,,,
G480,,,,
G481,,,,
G482,,,,
G483,,,,
G484,,,,
G485,,,,
G486,,,,
G487,,,,
G488,,,,
G489,,,,
G490,,,,
G491,,,,
G492,,,,
G493,,,,
G494,,,,
G495,,,,
G496,,,,
G497,,,,
G498,,,,
G499,,,,
G500,,,,
G501,,,,
G502,,,,
G503,,,,
G504,,,,
G505,,,,
G506,,,,
G507,,,,
G508,,,,
G509,,,,
G510,,,,
G511,,,,
G512,factor,employed_now,,
G513,,,,
G514,factor,self_assessment_health_status,,
G515,,,,
G516,,,,
G517,,,,
G518,,,,
G519,,,,
G520,,,,
G521,,,,
G522,,,,
G523,,,,
G524,,,,
G525,,,,
G526,,,,
G527,,,,
G528,,,,
G529,,,,
G530,,,,
G531,,,,
G532,,,,
G533,,,,
G534,,,,
G535,,,,
G536,,,,
G537,,,,
G538,,,,
G539,,,,
G540,,,,
G541,,,,
G542,,,,
G543,,,,
G544,,,,
G545,,,,
G546,,,,
G547,factor,heavy_activities_rosow_breslau,,
G548,factor,walk_half_a_mile_rosow_breslau,,
G549,factor,driving_rosow_breslau,,
G550,,,,
G551,,,,
G552,factor,pulling_pushing_large_objects_nagi,,
G553,factor,stooping_crouching_kneeling_nagi,,
G554,factor,reaching_extending_arms_below_shoulders_nagi,,
G555,factor,reaching_extending_arms_above_shoulders_nagi,,
G556,factor,handling_small_objects_nagi,,
G557,factor,standing_long_periods_nagi,,
G558,factor,sitting_long_periods_nagi,,
G559,factor,lifting_carrying_below_10lb_nagi,,
G560,factor,lifting_carrying_above_10lb_nagi,,
G561,factor,getting_in_out_of_car_nagi,,
G562,factor,putting_on_socks_nagi,,
G563,,,,
G564,factor,fall_history_past_year,,
G565,,,,
G566,factor,fractures_since_last_exam,,
G567,factor,broken_right_clavicle_since_last_exam,,
G568,,,,
G569,,,,
G570,,,,
G571,,,,
G572,,,,
G573,,,,
G574,,,,
G575,,,,
G576,,,,
G577,,,,
G578,,,,
G579,,,,
G580,,,,
G581,,,,
G582,,,,
G583,,,,
G584,,,,
G585,,,,
G586,,,,
G587,,,,
G588,,,,
G589,,,,
G590,,,,
G591,,,,
G592,,,,
G593,,,,
G594,,,,
G595,,,,
G596,,,,
G597,,,,
G598,,,,
G599,,,,
G600,,,,
G601,,,,
G602,,,,
G603,,,,
G604,,,,
G605,,,,
G606,,,,
G607,,,,
G608,,,,
G609,,,,
G610,,,,
G611,,,,
G612,,,,
G613,,,,
G614,,,,
G615,,,,
G616,,,,
G617,,,,
G618,,,,
G619,,,,
G620,,,,
G621,,,,
G622,,,,
G623,,,,
G624,factor,mammogram_since_last_exam,,
G625,,,,
G626,,,,
G627,,,,
G628,,,,
G629,,,,
G630,,,,
G631,,,,
G632,,,,
G633,,,,
G634,,,,
G635,,,,
G636,,,,
G637,,,,
G638,,,,
G639,,,,
G640,,,,
G641,,,,
G642,,,,
G643,,,,
G644,,,,
G645,factor,berkman_n_close_friends,,
G646,,,,
G647,factor,berkman_n_close_relatives,,
G648,,,,
G649,,,,
G650,,,,
G651,,,,
G652,factor,health_insurance,,
G653,,,,
G654,,,,
G655,,,,
G656,,,,
G657,,,,
G658,,,,
G659,,,,
G660,,,,
G661,,,,
G662,,,,
G663,,,,
G664,,,,
G665,,,,
G666,,,,
G667,,,,
G668,,,,
G669,,,,
G670,factor,asthma_ever_self_assessment,,
G671,,,,
G672,,,,
G673,factor,pipe_cigar_current_smoker,,
G674,factor,current_cigarette_smoker,,
G675,factor,have_you_ever_smoked,,
G676,integer,how_many_years_smoked,,
G677,integer,cigarettes_per_day_smoked,,
G678,,,,
G679,factor,current_steroids,,
G680,,,,
G681,,,,
G682,,,,
G683,,,,
G684,,,,
G685,integer,intense_physical_activity_n_times_per_week,,
G686,character,occupation,,
G687,integer,physical_activity_flights_stairs_n_per_day,,
G688,integer,physical_activity_city_blocks_walked_per_day,,
G689,integer,sleep_hours,,
G690,integer,physical_activity_n_hrs_sitting,,
G691,integer,slight_physical_activity_n_hrs,,
G692,integer,moderate_physical_activity_n_hrs,,
G693,integer,heavy_physical_activity_n_hrs,,
G695,,,,
G696,,,,
G697,,,,
G698,,,,
G699,,,,
G700,,,,
G701,,,,
G435,,,,
G709,float,BMI,,
G708,factor,blood_pressure_treatment,,
G710,factor,elevated_blood_pressure,,
G711,factor,hypertension,,
