old_column_name,new_data_type,new_column_name,coding
ID,integer,,
IDTYPE,integer,,
H003,factor,hospitalization_since_last_exam,
H004,factor,ER_Visit_Since_Last_Exam,
H005,factor,Surgery_Since_Last_Exam,
H006,factor,Major_Illness_W_Doctor_Visit_Since_Last_Exam,
H008,factor,doctor_checkup_past_5_years_since_last_exam,
H009,Date,e8_offspring_date,
H001,,,
H002,,,
H007,,,
H014,,,
H010,,,
H011,,,
H012,,,
H013,,,
H014,factor,blood_pressure_med,
H015,factor,cholesterol_med,
H017,factor,cvd_med,
H016,factor,diabetes_high_blood_sugar_diagnosed,
H018,,,
H024,factor,taking_oral_contraceptives,
H025,,,
H027,,,
H028,,,
H030,,,
H032,factor,hysterectomy_surgery_since_last_exam,
H033,,,
H036,factor,ovarectomy_surgery_since_last_exam,
H037,,,
H026,,,
H029,,,
H031,,,
H034,,,
H035,,,
H038,factor,menopause_status,
H040,,,
H039,,,
H041,,,
H042,,,
H043,,,
H044,,,
H045,factor,hormone_replacement_therapy_hrt_meds_since_last_exam,
H046,,,
H047,,,
H048,,,
H049,,,
H050,,,
H051,,,
H053,,,
H054,,,
H055,,,
H056,,,
H057,,,
H058,,,
H059,,,
H052,,,
H060,factor,regular_smoker_since_last_exam,
H061,factor,regular_smoker_past_year,
H062,factor,current_smoker,
H063,integer,smoke_per_day_current,
H064,integer,smoke_per_day_average,
H065,integer,age_started_smoking,
H066,integer,age_stopped_smoking,
H067,factor,interim_quit_smoking,
H068,integer,duration_interim_quit_smoking,
H069,factor,smoke_pipe_or_cigar_since_last_exam,
H070,factor,smoke_pipe_or_cigar_current,
H075,,,
H071,factor,alcohol_beer_once_a_month,
H074,factor,alcohol_wine_once_a_month,
H077,factor,alcohol_liquor_once_a_month,
H072,,,
H078,,,
H073,,,
H076,,,
H079,,,
H080,,,
H081,,,
H082,,,
H083,,,
H084,,,
H088,,,
H092,,,
H093,,,
H094,,,
H096,,,
H097,,,
H086,,,
H090,,,
H087,,,
H091,,,
H089,,,
H085,,,
H095,,,
H100,,,
H101,,,
H098,,,
H099,,,
H107,,,
H108,factor,heart_failure_CHF_congestive_heart_failure_dx_since_last_exam,
H109,factor,heart_failure_hospitalization_since_last_exam,
H106,,,
H102,,,
H105,,,
H103,,,
H104,,,
H110,factor,chf_congestive_heart_failure_examiner1,
H111,integer,systol_blood_pressure_1,
H112,integer,diastol_blood_pressure_1,
H113,,,
H114,,,
H115,factor,chest_discomfort,
H116,,,
H117,,,
H118,,,
H119,,,
H120,,,
H121,,,
H122,,,
H123,,,
H124,,,
H125,,,
H126,,,
H135,factor,myocardial_infarction_examiner1opinion,
H127,,,
H130,,,
H128,,,
H129,,,
H132,factor,angina_pectoris_examiner1,
H133,,,
H134,factor,coronary_insuff_examiner1opinion,
H131,factor,myocardial_infarction_since_last_visit,
H141,factor,fainted_loc_since_last_exam,
H142,,,
H143,,,
H144,,,
H145,,,
H146,,,
H147,factor,fainted_loc_hospitalized_since_last_exam,
H148,factor,head_injury_loc_since_last_exam,
H149,,,
H150,,,
H151,,,
H152,factor,seizure_since_last_exam,
H153,,,
H154,,,
H155,,,
