,old_column_name,new_data_type,new_column_name,coding,
1,idtype,integer,IDTYPE,,
2,id,integer,ID,,
3,j002,,,,
4,j003,,,,
5,j004,factor,hospitalization_since_last_exam,,
6,j005,factor,Surgery_Since_Last_Exam,,
7,j006,factor,Major_Illness_W_Doctor_Visit_Since_Last_Exam,,
8,j007,,,,
9,j008,factor,fever_infection_since_last_exam,,
10,j010,factor,taking_aspirin_regularly,,
11,j011,,,,
12,j012,,,,
13,j013,,,,
14,j014,factor,hypertension,,
15,j015,factor,blood_pressure_med,,
16,j016,factor,high_cholesterol_triglycerides,,
17,j017,factor,cholesterol_med,,
18,j018,factor,diabetes,,
19,j019,factor,diabetes_med,,
20,j020,factor,cvd_med,,
21,j030,,,,
22,j031,factor,menopause,,
23,j032,factor,taking_oral_contraceptives,,
24,j033,factor,pregnancy_since_last_exam,,
25,j034,,,,
26,j035,,,,
27,j036,,,,
28,j037,,,,
29,j038,,,,
30,j054,factor,hysterectomy_surgery_since_last_exam,,
31,j055,,,,058 ovarectomy removed to menopause dataset
32,j062,factor,regular_smoker_since_last_exam,,
33,j063,factor,regular_smoker_past_year,,
34,j064,factor,current_smoker,,
35,j065,integer,smoke_per_day_current,,
36,j066,integer,lifetime_smoke_per_day_average,,
37,j067,integer,age_stopped_smoking,,
38,j068,factor,interim_quit_smoking,,
39,j069,integer,duration_interim_quit_smoking,,
40,j070,factor,smoke_pipe_or_cigar_since_last_exam,,
41,j071,factor,smoke_pipe_or_cigar_current,,
42,j072,factor,drinks_alcohol_beer,,
43,j073,factor,drinks_alcohol_wine,,
44,j074,factor,drinks_alcohol_spirit,,
45,j075,,,,
46,j077,,,,
47,j079,,,,
48,j081,,,,
49,j082,,,,
50,j083,,,,
51,j084,,,,
52,j085,,,,
53,j086,,,,
54,j087,factor,coughs_usually,,
55,j088,,,,
56,j089,,,,
57,j090,,,,
58,j091,factor,brings_up_phlegm,,
59,j092,,,,
60,j093,,,,
61,j094,,,,
62,j095,factor,wheezing_whistling_past_12_months,,
63,j096,,,,
64,j097,,,,
65,j098,,,,
66,j099,,,,
67,j100,factor,awakened_by_sob,,
68,j101,factor,awakened_by_wheezing_whistling,,
69,j102,factor,awakened_by_coughing_past_12_months,,
70,j103,,,,
71,j104,,,,
72,j105,,,,
73,j106,,,,
74,j107,,,,
75,j108,,,,
76,j109,factor,ankle_edema_since_last_exam,,
77,j114,factor,heart_failure_hospitalization_since_last_exam,,
78,j116,integer,systol_blood_pressure_1,,
79,j117,factor,blood_pressure_cuff_size_1,,
80,j118,integer,diastol_blood_pressure_1,,
81,j119,,,,
82,j121,factor,chest_discomfort_any,,
83,j122,,,,
84,j123,,,,
85,j126,,,,
86,j127,,,,
87,j128,,,,
88,j129,,,,
89,j130,,,,
90,j131,,,,
91,j132,,,,
92,j133,,,,
93,j134,,,,
94,j135,,,,
95,j136,,,,
96,j149,factor,atrial_fibrillation_hospitalized,,
97,j150,,,,
98,j151,,,,
99,j152,,,,
100,j153,,,,
101,j154,,,,
102,j155,factor,fainted_since_last_exam,,
103,j156,,,,
104,j159,,,,
105,j160,,,,
106,j161,factor,hospitalized_syncope_since_last_exam,,
107,j162,factor,head_injury_loc_since_last_exam,,
108,j166,factor,seizure_since_last_exam,,
109,j170,factor,seizure_disorder_in_treatment,,
110,j171,,,,
111,j172,,,,
112,j173,,,,
113,j174,,,,
114,j176,factor,sudden_muscular_weakness,,
115,j177,factor,sudden_speech_difficulty,,
116,j178,factor,sudden_visual_defect,,
117,j179,factor,sudden_double_vision,,
118,j180,factor,sudden_loss_of_vision_one_eye,,
119,j181,factor,sudden_numbness_tingling,,
120,j182,,,,
121,j183,,,,
122,j187,,,,
123,j191,,,,
124,j193,factor,parkinson_diag_since_last_exam,,
125,j194,factor,dementia_alzheimer_since_last_exam,,
126,j195,,,,
127,j196,,,,
128,j204,,,,
129,j207,,,,
130,j208,,,,
131,j209,,,,
132,j210,,,,
133,j211,,,,
134,j212,,,,
135,j213,,,,
136,j215,,,,
137,j216,,,,
138,j217,,,,
139,j218,,,,
140,j219,,,,
141,j220,,,,caludication moved to CV SOE
142,j225,factor,spinal_stenosis_since_last_exam,,
143,j229,,,,
144,j251,factor,other_cardiovascular_procedure_surgery_since_last_exam,,
145,j255,integer,blood_pressure_systolic_reading2,,
146,j256,,,,
147,j257,integer,blood_pressure_diastolic_reading2,,
148,j258,,,,
149,j260,factor,kidney_stone_last_10_years,,
150,j261,factor,kidney_disease_hx,,
151,j302,factor,biopsy_hx,,
152,j309,,,,
153,j310,,,,
154,j311,,,,
155,j312,,,,
156,j313,,,,
157,j314,,,,
158,j315,,,,
159,j316,,,,
160,j317,,,,
161,j318,,,,
162,j319,,,,
163,j320,,,,
164,j321,,,,
165,j322,,,,
166,j323,,,,
167,j324,,,,
168,j325,,,,
169,j326,,,,
170,j327,,,,
171,j328,,,,
172,j329,,,,
173,j330,,,,
174,j331,,,,
175,j332,,,,
176,j333,,,,
177,j334,,,,
178,j335,,,,
179,j336,,,,
180,j337,,,,
181,j338,,,,
182,j342,,,,
183,j343,,,,
184,j344,,,,
185,j345,,,,
186,j346,,,,
187,j347,,,,
188,j348,,,,
189,j349,,,,
190,j350,,,,
191,j351,,,,
192,j352,,,,
193,j353,,,,
194,j354,factor,neuro_speech_disturbance,,
195,j355,factor,neuro_gait_disturbance,,
196,j356,,,,
197,j359,,,,
198,j360,,,,
199,j361,,,,
200,j362,,,,
201,j363,,,,
202,j364,,,,
203,j365,,,,
204,j366,,,,
205,j367,,,,
206,j368,,,,
207,j369,,,,
208,j370,,,,
209,j371,,,,
210,j372,,,,
211,j373,,,,
212,j374,,,,
213,j375,,,,
214,j376,,,,
215,j377,,,,
216,j378,,,,
217,j379,,,,
218,j380,,,,
219,j381,,,,
220,j382,,,,
221,j383,,,,
222,j384,,,,
223,j385,,,,
224,j386,,,,
225,j387,,,,
226,j388,,,,
227,j389,,,,
228,j390,,,,
229,j391,,,,
230,j392,,,,
231,j393,,,,
232,j394,factor,rheumatic_heart_disease_diagnostic_impression_only,,
233,j395,factor,aortic_valve_disease_diagnostic_impression_only,,
234,j396,factor,mitral_valve_disease_diagnostic_impression_only,,
235,j397,factor,arrhythmia_diagnostic_impression_only,,
236,j398,factor,other_cvd_diagnostic_impression_only,,
237,j400,factor,other_peripheral_vasc_disease_diagnostic_impression_only,,
238,j401,factor,other_vasc_diag_diagnostic_impression_only,,
239,j404,factor,dementia_diagnostic_impression_only,,
240,j405,factor,parkinson_diagnostic_impression_only,,
241,j406,factor,seizure_diagnostic_impression_only,,
242,j407,factor,migraine_diagnostic_impression_only,,
243,j408,factor,other_neuro_diagnostic_impression_only,,
244,j410,factor,thyroid_diagnostic_impression_only,,
245,j412,factor,other_endocrine_diagnostic_impression_only,,
246,j414,factor,renal_disease_diagnostic_impression_only,,
247,j416,factor,prostate_diagnostic_impression_only,,
248,j417,factor,gyne_diagnostic_impression_only,,
249,j419,factor,emphysema_diagnostic_impression_only,,
250,j420,factor,pneumonia_diagnostic_impression_only,,
251,j421,factor,asthma_diagnostic_impression_only,,
252,j422,factor,other_pulmonary_diagnostic_impression_only,,
253,j424,factor,gout_diagnostic_impression_only,,
254,j425,factor,degenerative_joint_disease_diagnostic_impression_only,,
255,j426,factor,rheumatoid_arthritis_diagnostic_impression_only,,
256,j427,factor,other_muscular_or_ct_disease_diagnostic_impression_only,,
257,j429,factor,gallbladder_diagnostic_impression_only,,
258,j430,factor,gerd_ulcer_diagnostic_impression_only,,
259,j431,factor,liver_diagnostic_impression_only,,
260,j432,factor,other_gi_diagnostic_impression_only,,
261,j434,factor,heme_diagnostic_impression_only,,
262,j435,factor,infectious_disease_diagnostic_impression_only,,
263,j436,factor,bleeding_diagnostic_impression_only,,
264,j438,factor,depression_diagnostic_impression_only,,
265,j439,factor,anxiety_diagnostic_impression_only,,
266,j441,factor,other_mental_health_diagnostic_impression_only,,
267,j443,factor,eye_diagnostic_impression_only,,
268,j444,factor,ent_diagnostic_impression_only,,
269,j445,factor,skin_diagnostic_impression_only,,
270,j446,,,,
271,j451,,,,
272,j452,,,,
273,j465,,,,
274,j469,,,,
275,j472,float,Height_in,,
276,j473,,,,
277,j474,float,Weight_lb,,
278,j475,,,,
279,j476,,,,
280,j478,float,neck_circumference_in,,
281,j479,,,,
282,j480,float,waist_girth_umbilicus_in,,
283,j481,,,,
284,j482,float,hip_girth_in,,
285,j483,,,,
286,j484,float,thigh_girth_in,,
287,j485,,,,
288,j487,,,,
289,j489,,,,
290,j502,,,,
291,j507,,,,
292,j509,,,,
293,j511,,,,
294,j516,,,,
295,j528,,,,
296,j533,,,,
297,j535,,,,
298,j537,,,,
299,j582,,,,
300,j585,,,,
301,j586,factor,socio_demo_qu_living_location,,
302,j587,,,,
303,j588,,,,
304,j589,,,,
305,j590,,,,
306,j591,,,,
307,j592,,,,
308,j593,,,,
309,j594,,,,
310,j597,factor,can_push_large_objects_nagi,,
311,j598,factor,can_stoop_crouch_kneel_nagi,,
312,j599,factor,reaching_extending_arms_below_shoulders_nagi,,
313,j600,factor,reaching_extending_arms_above_shoulders_nagi,,
314,j601,factor,handling_small_objects_nagi,,
315,j602,factor,standing_long_periods_nagi,,
316,j603,factor,sitting_long_periods_nagi,,
317,j604,factor,lifting_carrying_below_10lb_nagi,,
318,j605,factor,lifting_carrying_above_10lb_nagi,,
319,j606,,,,
320,j609,factor,heavy_work_rosow_breslau,,
321,j610,factor,walking_half_a_mile_rosow_breslau,,
322,j611,factor,can_walk_flight_of_stairs_rosow_breslau,,
323,j612,factor,katz_activities_can_get_dressed,,
324,j613,factor,katz_activities_bathing,,
325,j614,factor,katz_activities_can_eat_independently,,
326,j615,factor,katz_activities_can_transfer,,
327,j616,factor,katz_activities_toileting_activities_alone,,
328,j617,,,,
329,j620,factor,broken_bones_since_last_visit,,
330,j621,,,,
331,j622,,,,
332,j623,,,,
333,j625,,,,
334,j628,integer,sleep_hours,,
335,j629,integer,physical_activity_n_hrs_sitting,,
336,j630,integer,slight_physical_activity_n_hrs,,
337,j631,integer,moderate_physical_activity_n_hrs,,
338,j632,integer,heavy_physical_activity_n_hrs,,
339,j633,factor,physical_activity_sitting_frequency,,
340,j634,,,,
341,j635,,,,
342,j638,,,,walking
343,j639,,,,
344,j640,,,,
345,j641,,,,
346,j642,,,,
347,j643,,,,calisthenics
348,j644,,,,
349,j645,,,,
350,j646,,,,
351,j647,,,,
352,j648,,,,"exercise cycle, ski, stair"
353,j649,,,,
354,j650,,,,
355,j651,,,,
356,j652,,,,
357,j653,,,,exercise to increase muscle strength or endurance
358,j654,,,,
359,j655,,,,
360,j656,,,,
361,j657,,,,
362,j658,,,,moderate strenuous household chores
363,j659,,,,
364,j660,,,,
365,j661,,,,
366,j662,,,,
367,j663,,,,jogging
368,j664,,,,
369,j665,,,,
370,j666,,,,
371,j667,,,,
372,j668,,,,biking
373,j669,,,,
374,j670,,,,
375,j671,,,,
376,j672,,,,
377,j673,,,,
378,j674,,,,dancing
379,j675,,,,
380,j676,,,,
381,j677,,,,
382,j678,,,,aerobics
383,j679,,,,
384,j680,,,,
385,j681,,,,
386,j682,,,,
387,j683,,,,swimming
388,j684,,,,
389,j685,,,,
390,j686,,,,
391,j687,,,,
392,j688,,,,tennis
393,j689,,,,
394,j690,,,,
395,j691,,,,
396,j692,,,,
397,j693,,,,golf
398,j694,,,,
399,j695,,,,
400,j696,,,,
401,j697,,,,
402,j698,,,,lawn mowing
403,j699,,,,
404,j700,,,,
405,j701,,,,
406,j702,,,,
407,j703,,,,outdoor gardening
408,j704,,,,
409,j705,,,,
410,j706,,,,
411,j707,,,,
412,j708,,,,hiking
413,j709,,,,
414,j710,,,,
415,j711,,,,
416,j712,,,,
417,j713,,,,"light sports, recreational activities"
418,j714,,,,
419,j715,,,,
420,j716,,,,
421,j717,,,,
422,j718,,,,
423,j720,,,,
424,j721,,,,
425,j722,,,,
426,j723,,,,
427,j724,,,,
428,j727,,,,
429,j728,,,,
430,j729,,,,
431,j730,,,,
432,j731,,,,
433,j732,,,,
434,j733,,,,
435,j734,,,,
436,j735,,,,
437,j736,,,,
438,j737,,,,
439,j738,,,,
440,j739,,,,
441,j740,,,,
442,j741,,,,
443,j742,,,,
444,j743,,,,
445,j744,,,,
446,j745,,,,
447,j746,,,,
448,j747,,,,
449,j749,,,,
450,j762,,,,
451,j765,float,observed_performance_hand_grip_strength_nearest_kg_trial1_right,,
452,j766,float,observed_performance_hand_grip_strength_nearest_kg_trial2_right,,
453,j767,float,observed_performance_hand_grip_strength_nearest_kg_trial3_right,,
454,j768,float,observed_performance_hand_grip_strength_nearest_kg_trial1_left,,
455,j769,float,observed_performance_hand_grip_strength_nearest_kg_trial2_left,,
456,j770,float,observed_performance_hand_grip_strength_nearest_kg_trial3_left,,
457,j771,,,,
458,j772,,,,
459,j774,,,,
460,j775,,,,
461,j778,float,observed_performance_five_chair_stands_s,,
462,j779,,,,
463,j780,,,,
464,j781,,,,
465,j782,,,,
466,j784,,,,
467,j785,float,observed_performance_measured_walk1_time_s,,
468,j786,,,,
469,j787,,,,
470,j788,,,,
471,j790,float,observed_performance_measured_walk2_time_s,,
472,j791,,,,
473,j792,,,,
474,j793,,,,
475,j795,float,observed_performance_quick_walk_seconds,,
476,j796,,,,
477,j797,,,,
478,j798,,,,
479,j829,,,,
480,j832,,,,
481,j833,,,,
482,j834,factor,asthma_diagnosed_by_doctor,,
483,j835,,,,
484,j836,,,,
485,j837,,,,
486,j838,,,,
487,j839,,,,
488,j840,factor,bronchitis_diagnosed_by_doctor,,
489,j841,factor,emphysema_diagnosed_by_doctor,,
490,j842,factor,copd_diagnosed_by_doctor,,
491,j843,factor,sleep_apnea_diagnosed_by_doctor,,
492,j844,factor,fibrosis_diagnosed_by_doctor,,
493,j845,factor,inhaler_use,,
494,j846,,,,
495,j847,,,,
496,j848,,,,
497,j849,,,,
498,j850,,,,
499,j852,factor,hospitalized_trouble_of_breathing,,
500,j853,,,,
501,j854,,,,
502,j855,,,,
503,j856,,,,
504,j857,,,,
505,j858,factor,pneumonia_since_last_exam,,
506,j859,,,,
507,j860,,,,
508,j861,,,,
509,j862,,,,
510,j863,,,,
511,j864,,,,
512,j865,,,,
513,j866,,,,
514,j867,,,,
515,j868,,,,
516,j869,,,,
517,j870,,,,
518,j871,,,,
519,j872,,,,
520,j873,,,,
521,j876,factor,marital_status,,
522,j877,factor,current_employment_status,,
523,j879,factor,occupation_category,,
524,j880,factor,has_health_insurance,,
525,j881,factor,has_prescription_drug_coverage,,
526,j883,,,,
527,j884,,,,
528,j885,,,,
529,j886,,,,
530,j887,,,,
531,j888,,,,
532,j890,factor,health_self_assessment_sf12,,
533,j891,factor,moderate_activities_limited_sf12,,
534,j892,factor,several_flights_of_stairs_limited_sf12,,
535,j893,factor,accomplished_less_past_4_weeks_sf12,,
536,j894,factor,work_or_activities_limited_sf12,,
537,j895,factor,accomplished_less_emotional_limited_sf12,,
538,j896,factor,carefullness_limited_sf12,,
539,j898,factor,pain_interferenze_with_normal_work_sf12,,
540,j899,factor,calm_peaceful_past_4_weeks_sf12,,
541,j900,factor,lot_of_energy_past_4_weeks_sf12,,
542,j901,factor,felt_downhearted_past_4_weeks_sf12,,
543,j902,factor,social_activity_relation_sf12,,
544,j904,,,,sleep questionnaire
545,j905,,,,
546,j906,,,,
547,j907,,,,
548,j908,,,,
549,j909,,,,
550,j910,,,,
551,j911,,,,
552,j913,,,,
553,j914,,,,
554,j915,,,,
555,j916,,,,
556,j917,,,,
557,j918,,,,
558,j919,,,,
559,j920,,,,
560,j921,,,,
561,j922,,,,
562,j923,,,,
563,j924,,,,
564,j925,,,,
565,j926,,,,
566,j927,,,,
567,j928,,,,
568,j929,,,,
569,j930,,,,
570,j931,,,,
571,j932,,,,
572,j933,,,,
573,j935,,,,
574,j936,,,,
575,j937,,,,
576,j938,,,,
577,j939,,,,
578,j940,,,,
579,j941,,,,
580,j942,,,,
581,j943,,,,
582,j944,,,,
583,j945,,,,
584,j988,,,,
585,j990,,,,
586,j991,,,,
