,old_column_name,new_data_type,new_column_name,coding,
1,idtype,integer,IDTYPE,,
2,id,integer,ID,,
3,h001,,,,
4,h003,,,,
5,h004,factor,hospitalization_since_last_exam,,
6,h005,factor,Surgery_Since_Last_Exam,,
7,h006,factor,Major_Illness_W_Doctor_Visit_Since_Last_Exam,,
8,h007,factor,fever_infection_since_last_exam,,
9,h008,factor,doctor_checkup_past_5_years_since_last_exam,,
10,h010,factor,taking_aspirin_regularly,,
11,h011,,,,
12,h012,,,,
13,h013,,,,
14,h014,factor,blood_pressure_med,,
15,h015,factor,cholesterol_med,,
16,h016,factor,diabetes_high_blood_sugar_diagnosed,,
17,h017,factor,cvd_med,,
18,h024,factor,taking_HRT_or_birth_control_pill,,
19,h027,,,,
20,h032,factor,hysterectomy_surgery_since_last_exam,,
21,h033,,,,
22,h037,,,,find ovarectomy in menopause dataset
23,h045,factor,hormone_replacement_therapy_hrt_meds_since_last_exam,,108 CHF moved to CVD SOE sheet
24,h046,,,,131 132 AP MI moved to CVD SOE
25,h047,,,,
26,h048,,,,
27,h049,,,,
28,h052,,,,
29,h053,,,,
30,h056,,,,
31,h057,,,,
32,h058,,,,
33,h059,,,,
34,h060,factor,regular_smoker_since_last_exam,,
35,h061,factor,regular_smoker_past_year,,
36,h062,factor,current_smoker,,
37,h063,integer,smoke_per_day_current,,
38,h064,integer,lifetime_smoke_per_day_average,,
39,h065,integer,age_started_smoking,,
40,h066,integer,age_stopped_smoking,,
41,h067,factor,interim_quit_smoking,,
42,h068,integer,duration_interim_quit_smoking,,
43,h069,factor,smoke_pipe_or_cigar_since_last_exam,,
44,h070,factor,smoke_pipe_or_cigar_current,,
45,h071,factor,drinks_alcohol_beer,,
46,h072,integer,n_beers_week,,
47,h074,factor,drinks_alcohol_wine,,
48,h075,factor,n_wine_week,,
49,h077,factor,drinks_alcohol_spirit,,
50,h078,factor,n_spirits_week,,
51,h080,factor,age_stopped_alcohol,,
52,h081,,,,
53,h082,,,,
54,h083,,,,
55,h084,,,,
56,h085,factor,coughs_usually,,
57,h086,,,,
58,h087,,,,
59,h088,,,,
60,h089,factor,brings_up_phlegm,,
61,h090,,,,
62,h091,,,,
63,h092,,,,
64,h093,factor,wheezing_whistling_past_12_months,,
65,h094,,,,
66,h095,,,,
67,h096,,,,
68,h097,,,,
69,h098,factor,awakened_by_sob,,
70,h099,factor,awakened_by_wheezing_whistling,,
71,h100,factor,awakened_by_coughing_past_12_months,,
72,h101,,,,
73,h102,,,,
74,h103,,,,
75,h104,,,,
76,h105,,,,
77,h106,,,,
78,h107,,,,
79,h109,factor,heart_failure_hospitalization_since_last_exam,,
80,h111,integer,systol_blood_pressure_1,,
81,h112,integer,diastol_blood_pressure_1,,
82,h113,factor,blood_pressure_cuff_size_1,,
83,h114,,,,
84,h115,factor,chest_discomfort_any,,
85,h116,,,,
86,h117,,,,
87,h120,,,,
88,h121,,,,
89,h122,,,,
90,h123,,,,
91,h124,,,,
92,h125,,,,
93,h126,,,,
94,h127,,,,
95,h128,,,,
96,h129,,,,
97,h130,,,,
98,h140,factor,hospital_visit_atrial_fibrillation_syncope,,
99,h141,factor,fainted_since_last_exam,,
100,h142,,,,
101,h145,,,,
102,h146,,,,
103,h147,factor,atrial_fibrillation_hospitalized,,
104,h148,factor,head_injury_loc_since_last_exam,,
105,h152,factor,seizure_since_last_exam,,
106,h156,factor,seizure_disorder_in_treatment,,
107,h157,,,,
108,h158,,,,
109,h159,,,,
110,h160,,,,
111,h161,factor,sudden_muscular_weakness,,
112,h162,factor,sudden_speech_difficulty,,
113,h163,factor,sudden_visual_defect,,
114,h164,factor,sudden_double_vision,,
115,h165,factor,sudden_loss_of_vision_one_eye,,
116,h166,factor,sudden_numbness_tingling,,
117,h167,,,,
118,h168,,,,
119,h169,,,,
120,h171,factor,parkinson_diag_since_last_exam,,
121,h172,factor,dementia_alzheimer_since_last_exam,,
122,h173,,,,
123,h177,,,,
124,h178,,,,
125,h179,,,,
126,h180,,,,181 dvt moved to PE - DVT dataset
127,h183,,,,182 PE moved to PE - DVT dataset
128,h184,,,,
129,h185,,,,
130,h186,,,,
131,h187,,,,
132,h188,,,,
133,h189,,,,
134,h190,,,,
135,h191,,,,
136,h192,,,,
137,h193,,,,
138,h194,,,,
139,h195,,,,
140,h196,,,,
141,h197,,,,
142,h198,,,,199 moved to CVD SOE dataset pAVK
143,h200,factor,spinal_stenosis_since_last_exam,,
144,h201,,,,
145,h208,,,,cardiovascular procedures moved to CVD procedures dataset
146,h231,factor,other_cardiovascular_procedure_surgery_since_last_exam,,
147,h233,integer,blood_pressure_systolic_reading2,,
148,h234,integer,blood_pressure_diastolic_reading2,,
149,h235,,,,
150,h236,,,,
151,h256,,,,
152,h257,,,,
153,h258,,,,
154,h259,,,,
155,h260,,,,
156,h261,,,,
157,h262,,,,
158,h263,,,,
159,h264,,,,
160,h265,,,,
161,h266,,,,
162,h267,,,,
163,h268,,,,
164,h269,,,,
165,h270,,,,
166,h271,,,,
167,h272,,,,
168,h273,,,,
169,h274,,,,
170,h275,,,,
171,h276,,,,
172,h277,,,,
173,h278,,,,
174,h279,,,,
175,h280,,,,
176,h281,,,,
177,h282,,,,
178,h283,,,,
179,h284,,,,
180,h285,,,,
181,h288,,,,
182,h289,,,,
183,h290,,,,
184,h291,,,,
185,h292,,,,
186,h293,,,,
187,h294,,,,
188,h295,,,,
189,h296,,,,
190,h297,,,,
191,h298,,,,
192,h299,,,,
193,h300,factor,neuro_speech_disturbance,,
194,h301,,,,
195,h302,,,,
196,h304,,,,
197,h305,,,,
198,h306,,,,
199,h307,,,,
200,h308,,,,
201,h309,,,,
202,h310,,,,
203,h311,,,,
204,h312,,,,
205,h313,,,,
206,h314,,,,
207,h315,,,,
208,h316,,,,
209,h317,,,,
210,h318,,,,
211,h319,,,,
212,h320,,,,
213,h321,,,,
214,h322,,,,
215,h323,,,,
216,h324,,,,
217,h325,,,,
218,h326,,,,
219,h327,,,,
220,h328,,,,
221,h329,,,,
222,h330,,,,
223,h331,,,,
224,h332,,,,
225,h333,,,,
226,h334,,,,
227,h335,,,,
228,h336,,,,
229,h337,,,,
230,h338,,,,
231,h339,factor,rheumatic_heart_disease_diagnostic_impression_only,,
232,h340,factor,aortic_valve_disease_diagnostic_impression_only,,
233,h341,factor,mitral_valve_disease_diagnostic_impression_only,,
234,h342,factor,other_cvd_diagnostic_impression_only,,
235,h343,factor,cvd_diagnostic_impression_only,,
236,h344,factor,other_peripheral_vasc_disease_diagnostic_impression_only,,
237,h345,factor,other_vasc_diag_diagnostic_impression_only,,
238,h347,factor,dementia_diagnostic_impression_only,,
239,h348,factor,parkinson_diagnostic_impression_only,,
240,h349,factor,seizure_diagnostic_impression_only,,
241,h350,factor,other_neuro_diagnostic_impression_only,,
242,h351,factor,thyroid_diagnostic_impression_only,,
243,h353,factor,other_endocrine_diagnostic_impression_only,,352 diabetes moved
244,h354,factor,renal_disease_diagnostic_impression_only,,
245,h355,factor,prostate_diagnostic_impression_only,,
246,h356,factor,gyne_diagnostic_impression_only,,
247,h357,factor,emphysema_diagnostic_impression_only,,
248,h358,factor,pneumonia_diagnostic_impression_only,,
249,h359,factor,asthma_diagnostic_impression_only,,
250,h360,factor,other_pulmonary_diagnostic_impression_only,,
251,h361,factor,gout_diagnostic_impression_only,,
252,h362,factor,degenerative_joint_disease_diagnostic_impression_only,,
253,h363,factor,rheumatoid_arthritis_diagnostic_impression_only,,
254,h364,factor,other_muscular_or_ct_disease_diagnostic_impression_only,,
255,h365,factor,gallbladder_diagnostic_impression_only,,
256,h366,factor,gerd_ulcer_diagnostic_impression_only,,
257,h367,factor,liver_diagnostic_impression_only,,
258,h368,factor,other_gi_diagnostic_impression_only,,
259,h369,factor,heme_diagnostic_impression_only,,
260,h370,factor,bleeding_diagnostic_impression_only,,
261,h371,factor,eye_diagnostic_impression_only,,
262,h372,factor,ent_diagnostic_impression_only,,
263,h373,factor,skin_diagnostic_impression_only,,
264,h374,,,,
265,h375,factor,infectious_disease_diagnostic_impression_only,,
266,h376,factor,depression_diagnostic_impression_only,,
267,h377,factor,anxiety_diagnostic_impression_only,,
268,h379,factor,other_mental_health_diagnostic_impression_only,,
269,h382,,,,
270,h392,,,,
271,h393,float,Weight_lb,,
272,h394,,,,
273,h395,,,,
274,h399,float,Height_in,,
275,h400,,,,
276,h401,,,,
277,h403,float,waist_girth_umbilicus_in,,
278,h404,,,,
279,h405,float,waist_girth_iliac_crest_in,,
280,h406,,,,
281,h407,float,sagittal_abdominal_diameter_cm,,
282,h408,,,,
283,h409,,,,
284,h426,,,,
285,h427,,,,
286,h428,,,,
287,h455,,,,
288,h456,,,,
289,h457,,,,
290,h459,factor,socio_demo_qu_living_location,,
291,h460,,,,
292,h461,,,,
293,h462,,,,
294,h463,,,,
295,h464,,,,
296,h465,,,,
297,h466,,,,
298,h467,,,,
299,h468,factor,heavy_work_rosow_breslau,,
300,h469,factor,walking_half_a_mile_rosow_breslau,,
301,h470,factor,can_walk_flight_of_stairs_rosow_breslau,,
302,h471,,,,
303,h472,,,,
304,h474,factor,katz_activities_can_get_dressed,,
305,h475,factor,katz_activities_bathing,,
306,h476,factor,katz_activities_can_eat_independently,,
307,h477,factor,katz_activities_can_transfer,,
308,h478,factor,katz_activities_toileting_activities_alone,,
309,h480,integer,sleep_hours,,
310,h481,integer,physical_activity_n_hrs_sitting,,
311,h482,integer,slight_physical_activity_n_hrs,,
312,h483,integer,moderate_physical_activity_n_hrs,,
313,h484,integer,heavy_physical_activity_n_hrs,,
314,h485,factor,physical_activity_normal_walking_pace,,
315,h486,integer,physical_activity_flights_stairs_n_per_day,,
316,h488,,,walking,here continues physical activity Qu
317,h489,,,,
318,h490,,,,
319,h491,,,,
320,h492,,,,
321,h493,,,,
322,h494,,,,
323,h495,,,calisthenics,
324,h496,,,,
325,h497,,,,
326,h498,,,moderate strenuous household chores,
327,h499,,,,
328,h500,,,,
329,h501,,,,
330,h502,,,,
331,h503,,,lawn mowing,
332,h504,,,,
333,h505,,,,
334,h506,,,,
335,h507,,,,
336,h508,,,gardening,
337,h509,,,,
338,h510,,,,
339,h511,,,,
340,h512,,,,
341,h513,,,hiking,
342,h514,,,,
343,h515,,,,
344,h516,,,,
345,h517,,,,
346,h518,,,jogging,
347,h519,,,,
348,h520,,,,
349,h521,,,,
350,h522,,,,
351,h523,,,biking,
352,h524,,,,
353,h525,,,,
354,h526,,,,
355,h527,,,,
356,h528,,,"exercise cycle, ski, stair",
357,h529,,,,
358,h530,,,,
359,h531,,,,
360,h532,,,,
361,h533,,,dancing,
362,h534,,,,
363,h535,,,,
364,h536,,,,
365,h537,,,,
366,h538,,,aerobics,
367,h539,,,,
368,h540,,,,
369,h541,,,,
370,h542,,,,
371,h543,,,golf,
372,h544,,,,
373,h545,,,,
374,h546,,,,
375,h547,,,,
376,h548,,,swimming,
377,h549,,,,
378,h550,,,,
379,h551,,,,
380,h552,,,,
381,h553,,,weight training,
382,h554,,,,
383,h555,,,,
384,h556,,,,
385,h557,,,,
386,h558,,,,
387,h559,,,,
388,h560,,,,
389,h561,,,,
390,h562,,,,
391,h563,,,,
392,h564,,,,
393,h565,,,,
394,h566,,,,
395,h567,,,,
396,h569,factor,can_push_large_objects_nagi,,
397,h570,factor,can_stoop_crouch_kneel_nagi,,
398,h571,factor,reaching_extending_arms_below_shoulders_nagi,,
399,h572,factor,reaching_extending_arms_above_shoulders_nagi,,
400,h573,factor,handling_small_objects_nagi,,
401,h574,factor,standing_long_periods_nagi,,
402,h575,factor,sitting_long_periods_nagi,,
403,h576,factor,lifting_carrying_below_10lb_nagi,,
404,h577,factor,lifting_carrying_above_10lb_nagi,,
405,h579,factor,broken_bones_since_last_visit,,
406,h580,,,,
407,h605,float,observed_performance_hand_grip_strength_nearest_kg_trial1_right,,
408,h606,float,observed_performance_hand_grip_strength_nearest_kg_trial2_right,,
409,h607,float,observed_performance_hand_grip_strength_nearest_kg_trial3_right,,
410,h608,float,observed_performance_hand_grip_strength_nearest_kg_trial1_left,,
411,h609,float,observed_performance_hand_grip_strength_nearest_kg_trial2_left,,
412,h610,float,observed_performance_hand_grip_strength_nearest_kg_trial3_left,,
413,h611,,,,
414,h612,,,,
415,h614,,,,
416,h615,,,,
417,h616,,,,
418,h617,float,observed_performance_measured_walk1_time_s,,
419,h618,,,,
420,h619,,,,
421,h620,float,observed_performance_measured_walk2_time_s,,
422,h621,,,,
423,h622,,,,
424,h623,float,observed_performance_quick_walk_seconds,,
425,h625,,,,
426,h626,,,,
427,h627,,,,
428,h628,,,,
429,h629,,,,
430,h630,,,,
431,h631,,,,
432,h632,,,,
433,h633,,,,
434,h634,,,,
435,h635,,,,
436,h636,,,,
437,h637,,,,
438,h638,,,,
439,h639,,,,
440,h640,,,,
441,h645,,,,
442,h647,,,,
443,h648,,,,
444,h649,factor,asthma_diagnosed_by_doctor,,
445,h650,,,,
446,h651,,,,
447,h652,,,,
448,h653,,,,
449,h654,factor,pneumonia_since_last_exam,,
450,h655,,,,
451,h656,factor,bronchitis_diagnosed_by_doctor,,
452,h657,,,,
453,h658,,,,
454,h659,factor,emphysema_diagnosed_by_doctor,,
455,h660,,,,
456,h661,,,,
457,h662,factor,copd_diagnosed_by_doctor,,
458,h663,,,,
459,h664,,,,
460,h665,factor,sleep_apnea_diagnosed_by_doctor,,
461,h666,,,,
462,h667,,,,
463,h668,factor,fibrosis_diagnosed_by_doctor,,
464,h669,,,,
465,h670,factor,inhaler_use,,
466,h671,,,,
467,h672,,,,
468,h673,,,,
469,h674,,,,
470,h675,,,,
471,h676,,,,
472,h677,,,,
473,h678,,,,
474,h679,,,,
475,h680,,,,
476,h681,,,,
477,h682,,,,
478,h683,,,,
479,h684,,,,
480,h685,,,,
481,h686,,,,
482,h687,,,,
483,h688,,,,
484,h699,factor,marital_status,,
485,h700,,,,
486,h701,,,,
487,h702,,,,
488,h703,,,,
489,h704,,,,
490,h705,,,,
491,h706,,,,
492,h707,,,,
493,h708,factor,highest_education_degree,,
494,h709,factor,current_employment_status,,
495,h711,factor,occupation_category,,
496,h712,factor,has_health_insurance,,
497,h713,factor,has_prescription_drug_coverage,,
498,h714,factor,health_self_assessment_sf12,,
499,h715,factor,moderate_activities_limited_sf12,,
500,h716,factor,several_flights_of_stairs_limited_sf12,,
501,h717,factor,accomplished_less_past_4_weeks_sf12,,
502,h718,factor,work_or_activities_limited_sf12,,
503,h719,factor,accomplished_less_emotional_limited_sf12,,
504,h720,factor,carefullness_limited_sf12,,
505,h721,factor,pain_interferenze_with_normal_work_sf12,,
506,h722,factor,calm_peaceful_past_4_weeks_sf12,,
507,h723,factor,lot_of_energy_past_4_weeks_sf12,,
508,h724,factor,felt_downhearted_past_4_weeks_sf12,,
509,h725,factor,social_activity_relation_sf12,,
510,h726,integer,sleep_n_hours,,
511,h727,,,,sleep questions
512,h728,,,,
513,h729,,,,
514,h730,,,,
515,h731,,,,
516,h732,,,,
517,h733,,,,
518,h734,,,,
519,h735,,,,
520,h736,,,,
521,h737,,,,
522,h738,,,,
523,h739,,,,
524,h740,,,,
525,h741,,,,
526,h742,,,,
527,h743,,,,
528,h744,factor,sleep_apnea_dx,,
529,h745,factor,insomnia_dx,,
530,h746,factor,restless_legs_dx,,
531,h769,,,,
532,h773,factor,pregnancy_ever,,
533,h774,,,,
534,h775,,,,
535,h776,,,,
536,h777,,,,
537,h778,,,,
538,h779,,,,
539,h780,,,,
540,h782,,,,
541,h784,,,,
542,h786,,,,
543,h787,,,,
544,h789,,,,
545,h790,,,,
546,h792,,,,
547,h794,,,,
548,h795,,,,
549,h797,,,,
550,h798,,,,
551,h799,,,,
552,h801,,,,
553,h802,,,,
554,h803,,,,
555,h805,,,,
556,h806,,,,
557,h807,,,,
558,h808,,,,
559,h809,,,,
560,h580A,,,,
561,h580B,,,,
