old_column_name,new_data_type,new_column_name,coding
IDTYPE,integer,,
ID,integer,,
RACE_CODE,factor,,
H702,factor,ethnicity_white_caucasian,
H703,factor,ethnicity_african_american_black,
H704,factor,ethnicity_asian,
H705,factor,ethnicity_hawaiian_pacific,
H706,factor,ethnicity_american_indian_alaska_native,
H707,factor,no_race_answer_ethnicity,
H700,factor,ethnicity_latino_hispanic,
H701,factor,ethnicity_not_latino_hispanic,
G3A483,,,
G3A484,,,
G3A485,,,
G3A486,,,
G3A487,,,
G3A488,,,
G3A489,,,
G3A490,,,
RACEATOMNI1,,,
SOURCE,,,
